2026-02-13 13:38:13.276 | INFO     | Core.Chunk.DocChunk:build_chunks:29 - Starting chunk the given documents
2026-02-13 13:38:13.288 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into /workspace/ETE-Graph/workdir/timeqa/HippoRAG/chunk_storage_chunk_data_idx.pkl and /workspace/ETE-Graph/workdir/timeqa/HippoRAG/chunk_storage_chunk_data_key.pkl
2026-02-13 13:38:13.289 | INFO     | Core.Chunk.DocChunk:build_chunks:80 - ✅ Finished the chunking stage
2026-02-13 13:38:13.289 | INFO     | Core.GraphRAG:_update_costs_info:206 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-02-13 13:38:13.289 | INFO     | Core.GraphRAG:_update_costs_info:208 - Chunking time(s): 0.01
2026-02-13 13:38:13.289 | INFO     | Core.Graph.BaseGraph:build_graph:43 - Starting build graph for the given documents
2026-02-13 13:38:13.289 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:27 - Attempting to load the graph from: /workspace/ETE-Graph/workdir/timeqa/HippoRAG/graph_storage_nx_data.graphml
2026-02-13 13:38:13.289 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:40 - GraphML file does not exist! Need to build the graph from scratch.
2026-02-13 13:39:40.735 | INFO     | Core.Common.CostManager:update_cost:136 - prompt_tokens: 1464, completion_tokens: 1708
2026-02-13 13:40:00.037 | INFO     | Core.Common.CostManager:update_cost:136 - prompt_tokens: 671, completion_tokens: 2074
2026-02-13 13:41:06.885 | INFO     | Core.Common.CostManager:update_cost:136 - prompt_tokens: 1334, completion_tokens: 3375
2026-02-13 13:41:22.435 | INFO     | Core.Common.CostManager:update_cost:136 - prompt_tokens: 2077, completion_tokens: 1957
2026-02-13 13:41:48.255 | INFO     | Core.Common.CostManager:update_cost:136 - prompt_tokens: 1175, completion_tokens: 2106
2026-02-13 13:44:33.859 | INFO     | Core.Common.CostManager:update_cost:136 - prompt_tokens: 2210, completion_tokens: 4081
2026-02-13 13:44:33.888 | INFO     | Core.Graph.ERGraph:_build_graph:96 - Constructing graph finished
2026-02-13 13:44:33.888 | INFO     | Core.Storage.NetworkXStorage:_persist:109 - Writing graph into /workspace/ETE-Graph/workdir/timeqa/HippoRAG/graph_storage_nx_data.graphml
2026-02-13 13:44:33.889 | INFO     | Core.Storage.NetworkXStorage:write_nx_graph:45 - Writing graph with 189 nodes, 150 edges
2026-02-13 13:44:33.912 | INFO     | Core.Graph.BaseGraph:build_graph:56 - ✅ Finished the graph building stage
2026-02-13 13:44:33.913 | INFO     | Core.GraphRAG:_update_costs_info:206 - Build Graph stage cost: Total prompt token: 8931, Total completeion token: 15301, Total cost: 0
2026-02-13 13:44:33.913 | INFO     | Core.GraphRAG:_update_costs_info:208 - Build Graph time(s): 380.62
2026-02-13 13:44:33.915 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2026-02-13 13:44:33.918 | INFO     | Core.Index.BaseIndex:build_index:25 - Building index for input elements
2026-02-13 13:44:39.150 | INFO     | Core.Index.FaissIndex:_update_index:103 - refresh index size is 189
2026-02-13 13:44:39.164 | INFO     | Core.Index.BaseIndex:build_index:28 - Index successfully built and stored.
2026-02-13 13:44:39.164 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2026-02-13 13:44:39.164 | INFO     | Core.Graph.BaseGraph:augment_graph_by_similarity_search:182 - Starting augment the existing graph with similariy edges
2026-02-13 13:44:55.287 | INFO     | Core.Graph.BaseGraph:augment_graph_by_similarity_search:229 - Augmenting graph with 281 edges
2026-02-13 13:44:55.297 | INFO     | Core.Graph.BaseGraph:augment_graph_by_similarity_search:233 - ✅ Finished augment the existing graph with similariy edges
2026-02-13 13:44:55.299 | INFO     | Core.GraphRAG:build_e2r_r2c_maps:194 - Starting build two maps: 1️⃣ entity <-> relationship; 2️⃣ relationship <-> chunks 
2026-02-13 13:44:55.299 | INFO     | Core.Storage.PickleBlobStorage:load:21 - Forcing rebuild the mapping for: /workspace/ETE-Graph/workdir/timeqa/HippoRAG/map_e2r_blob_data.pkl.
2026-02-13 13:44:55.308 | INFO     | Core.Storage.PickleBlobStorage:persist:50 - Saving blob storage '/workspace/ETE-Graph/workdir/timeqa/HippoRAG/map_e2r_blob_data.pkl'.
2026-02-13 13:44:55.308 | INFO     | Core.Storage.PickleBlobStorage:load:21 - Forcing rebuild the mapping for: /workspace/ETE-Graph/workdir/timeqa/HippoRAG/map_r2c_blob_data.pkl.
2026-02-13 13:44:55.313 | INFO     | Core.Storage.PickleBlobStorage:persist:50 - Saving blob storage '/workspace/ETE-Graph/workdir/timeqa/HippoRAG/map_r2c_blob_data.pkl'.
2026-02-13 13:44:55.313 | INFO     | Core.GraphRAG:build_e2r_r2c_maps:201 - ✅ Finished building the two maps 
2026-02-13 13:44:55.313 | INFO     | Core.GraphRAG:_update_costs_info:206 - Index Building stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-02-13 13:44:55.314 | INFO     | Core.GraphRAG:_update_costs_info:208 - Index Building time(s): 21.40
2026-02-13 13:44:55.314 | INFO     | Core.GraphRAG:_save_timing_metrics:353 - Timing metrics saved to /workspace/ETE-Graph/workdir/timeqa/HippoRAG/time_used.json
2026-02-13 13:44:55.314 | INFO     | Core.GraphRAG:_build_retriever_context:177 - Building retriever context for the current execution
2026-02-13 13:44:55.314 | ERROR    | Core.GraphRAG:_build_retriever_context:188 - Failed to build retriever context: PPRQuery.__init__() takes 3 positional arguments but 4 were given
